#,Name,Shelf Life,unit,Open,Recv,Taste,M/O,Close,Var.,,,,  
108,Dark Chocolate Mint   35g,,each,,,,,,0,,,,
109,Dark Chocolate Honeycomb 35g,,each,,,,,,0,,,,
110, Dark Chocolate Plain-70% 35g,,each,,,,,,0,,,,
111,Cashew Almond Pumpkin BAR 40g,,each,,,,,,0,,,,
112,Almond Cashew Cranberry BAR 40g,,each,,,,,,0,,,,
113,Almond Cashew Coconut BAR 40g,,each,,,,,,0,,,,
114,Belgian Milk Chocolate Almond Dragees 70g,,each,,,,,,0,,,,
115,Belgian Milk Chocolate Hazelnut Dragees 70g,,each,,,,,,0,,,,
116,Sugar free Belgian Milk Chocolate Bar 30g,,each,,,,,,0,,,,
117,Sugar free Belgian Dark Chocolate Bar 30g,,each,,,,,,0,,,,
118,Sugar free Belgian Milk Chocolate Bar with Hazelnut 30g,,each,,,,,,0,,,,
119,Sugar free Belgian Dark Chocolate Bar with Almond 30g,,each,,,,,,0,,,,
120,Sugar free Belgian Dark Chocolate Mint Bar  30g,,each,,,,,,0,,,,
121,Sugar free Belgian Strawberry Milk Chocolate Bar 30g,,each,,,,,,0,,,,
122,Sugar free Belgian Dark Coffee Chocolate Bar 30g,,each,,,,,,0,,,,
123,Tiramisu Cake 175g,,each,,,,,,0,,,,
124,Triple Chocolate Cake 170g,,each,,,,,,0,,,,
125,Belgian Chocolate Sable Box,,each,,,,,,0,,,,
126,Chocolate Butter Biscuits Box,,each,,,,,,0,,,,
127,Chocolate Éclair,,each,,,,,,0,,,,
128,Pistachio Éclair,,each,,,,,,0,,,,
129,Pecan Tart,,each,,,,,,0,,,,
130,Plain Butter Croissant,,each,,,,,,0,,,,
131,Croissant Emmental,,each,,,,,,0,,,,
132,Pate Roumi Cheese,,each,,,,,,0,,,,
133,Pain Suise,,each,,,,,,0,,,,
134,Pain white cheese with oliv,,each,,,,,,0,,,,
,Morning Manager:-                        Morning T M:  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,The waste Checked By :               ,,,,,,,,,,,,
,Manager                                   ,"Saturday, April 25, 2026",,,,,,,,,,,
